Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.10-116.203.139.104-9100-47388-6,116.203.139.104,47388,10.10.10.10,9100,6,21/09/2021 04:45:24 PM,6013963,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49883911823202104,3006981.5,1415666.6668084334,4008009.0,2005954.0,4008009.0,4008009.0,0.0,4008009.0,4008009.0,0,0,0,0,0,0,0,0,0,80,40,0.33255941215468066,0.16627970607734033,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,29200,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-36.89.142.90-22-53-17,36.89.142.90,53,10.10.10.10,22,17,21/09/2021 04:45:28 PM,53,1,1,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,0.0,1132075.4716981133,37735.84905660377,53.0,0.0,53.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18867.924528301886,18867.924528301886,30.0,30.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,45.0,30.0,30.0,0,0,0,0,0,0,1,30,1,30,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-36.92.82.121-0-0-0,36.92.82.121,0,10.10.10.10,0,0,21/09/2021 04:45:29 PM,847130,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.541369093291466,423565.0,589142.9853083205,840152.0,6978.0,840152.0,840152.0,0.0,840152.0,840152.0,0,0,0,0,0,0,0,0,0,0,0,2.3609127288609777,1.1804563644304888,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-104.21.24.38-55132-443-6,104.21.24.38,443,10.10.10.10,55132,6,21/09/2021 04:45:30 PM,49,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61224.48979591837,24.5,34.64823227814083,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,40816.32653061225,20408.163265306124,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
218.35.216.149-10.10.10.10-33645-23-6,218.35.216.149,33645,10.10.10.10,23,6,21/09/2021 04:45:35 PM,413574,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.671787878348253,137858.0,105536.3359085391,256635.0,54870.0,358704.0,179352.0,109294.66674087991,256635.0,102069.0,0,0,0,0,0,0,0,0,0,60,20,7.253840908761189,2.4179469695870632,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,39029,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-113.203.120.161-88-32862-6,113.203.120.161,32862,10.10.10.10,88,6,21/09/2021 04:45:48 PM,3103036,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2890601333661615,1034345.3333333334,12768.615991302006,1047297.0,1021768.0,2069065.0,1034532.5,18051.729016911373,1047297.0,1021768.0,0,0,0,0,0,0,0,0,0,120,40,0.9667951000246211,0.3222650333415404,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-84.197.144.127-8080-56968-6,84.197.144.127,56968,10.10.10.10,8080,6,21/09/2021 04:45:44 PM,75857,3,1,578.0,0.0,527.0,0.0,192.66666666666669,290.66188833992896,0.0,0.0,0.0,0.0,7619.600036911558,52.73079610319417,25285.666666666668,21898.036677595857,37946.0,0.0,37911.0,18955.5,26807.125181563202,37911.0,0.0,0,0,0,0,0,0,0,0,0,60,32,39.54809707739563,13.182699025798543,0.0,527.0,115.6,231.0374428528848,53378.3,0,1,0,0,0,0,0,0,0.0,144.5,192.66666666666666,0.0,0,0,0,0,0,0,3,578,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-36.67.199.213-0-0-0,36.67.199.213,0,10.10.10.10,0,0,21/09/2021 04:45:26 PM,444109,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51019682105069,88821.8,92134.67307534118,234967.0,14014.0,395155.0,98788.75,103228.53301413325,234967.0,14014.0,0,0,0,0,0,0,0,0,0,0,0,11.258497350875574,2.2516994701751147,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-24.199.33.46-22-53-17,24.199.33.46,53,10.10.10.10,22,17,21/09/2021 04:45:24 PM,1,1,1,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,0.0,6.0E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1000000.0,1000000.0,30.0,30.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,45.0,30.0,30.0,0,0,0,0,0,0,1,30,1,30,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-52.34.225.115-443-46578-6,52.34.225.115,46578,10.10.10.10,443,6,21/09/2021 04:45:26 PM,31,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96774.19354838709,15.5,20.506096654409877,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,64516.12903225806,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
